movieId,rating_count,rating_mean,pop_score
318,312,4.42948717948718,4.402427591171241
858,188,4.281914893617022,4.245362042207775
2959,217,4.271889400921659,4.240447948709865
527,213,4.23943661971831,4.2088864769378445
260,250,4.228,4.202237247527459
1221,127,4.251968503937008,4.201326163190799
1197,141,4.24468085106383,4.199216452696287
1213,123,4.247967479674797,4.196102889903305
750,95,4.2631578947368425,4.196016041496566
50,198,4.224747474747475,4.19270040556317
48516,106,4.245283018867925,4.1860490030787885
1196,210,4.214285714285714,4.1844622016233615
58559,146,4.222602739726027,4.18001079716115
2329,122,4.229508196721311,4.178649123917722
912,100,4.24,4.178015312337631
904,82,4.25,4.174800916925428
296,304,4.192434210526316,4.172234663557769
1198,194,4.201030927835052,4.169518060574213
1104,20,4.475,4.169389478571314
1208,106,4.226415094339623,4.168807623768443
2571,277,4.189530685920578,4.167532001244388
1193,132,4.212121212121212,4.166068199698165
1204,45,4.3,4.165121533766171
1089,131,4.202290076335878,4.156607690476166
1276,56,4.258928571428571,4.1527527932899915
356,324,4.160493827160494,4.142460132805806
4973,119,4.184873949579832,4.136292126799531
593,276,4.155797101449275,4.134900994255732
1252,58,4.224137931034483,4.126201240546168
922,27,4.333333333333333,4.123829306949714
2028,186,4.153225806451613,4.122865736516018
1225,74,4.195945945945946,4.120020051870707
898,29,4.310344827586207,4.117479086080499
1136,133,4.157894736842105,4.115955834665311
7361,125,4.16,4.115419884126959
68157,85,4.176470588235294,4.111386151127784
1210,196,4.137755102040816,4.109619826976405
1201,69,4.188405797101449,4.108628915913157
246,29,4.293103448275862,4.104658573259986
908,55,4.2,4.10125668241753
2324,86,4.162790697674419,4.099809212053536
1041,11,4.590909090909091,4.099127826530449
3147,109,4.146788990825688,4.097325078631424
1178,12,4.541666666666667,4.09462201623361
7153,185,4.118918918918919,4.090162483882766
1199,59,4.177966101694915,4.088140353002021
475,25,4.3,4.088048124489697
4226,157,4.1210191082802545,4.087315475192451
1235,26,4.288461538461538,4.085602343253873
608,180,4.113888888888889,4.084640443984944
1217,15,4.433333333333334,4.083267374285577
1233,40,4.2125,4.081633687142789
2019,47,4.191489361702128,4.080380427318236
1203,54,4.175925925925926,4.079401318080303
3275,42,4.2023809523809526,4.078493929944989
4993,197,4.104060913705584,4.077689296411301
6016,75,4.1466666666666665,4.077431580672228
1267,30,4.25,4.077042108928485
3451,11,4.545454545454546,4.075318302720925
5618,85,4.135294117647059,4.074544045864625
168252,25,4.28,4.073762410203984
4011,88,4.130681818181818,4.0722620852769325
541,121,4.103305785123967,4.061692247001065
92535,8,4.6875,4.0600935753966345
913,44,4.170454545454546,4.057068228835916
3468,18,4.333333333333333,4.056488727040694
1704,139,4.089928057553957,4.054239492329795
1228,39,4.17948717948718,4.052687435859989
111,99,4.101010101010101,4.051208113368252
1242,41,4.170731707317073,4.050621261904695
2360,12,4.458333333333333,4.049167470779064
1222,98,4.096938775510204,4.047052632936476
951,14,4.392857142857143,4.0450701815474766
79132,139,4.075539568345324,4.040816673537849
3435,17,4.323529411764706,4.040062383597757
2502,94,4.090425531914893,4.039246964972494
1258,107,4.08411214953271,4.039159695360166
1209,18,4.305555555555555,4.038631584183551
1207,58,4.120689655172414,4.037965946428521
926,24,4.229166666666667,4.031814245798219
1212,24,4.229166666666667,4.031814245798219
2858,202,4.054455445544554,4.0310456809299025
78499,55,4.109090909090909,4.024333605494453
60069,101,4.069306930693069,4.023258417631887
57669,40,4.1375,4.021633687142789
1262,43,4.127906976744186,4.020409138813952
930,20,4.25,4.019389478571314
933,23,4.217391304347826,4.017626798701195
1617,96,4.0625,4.014921550539052
1172,33,4.151515151515151,4.013527543189289
3681,33,4.151515151515151,4.013527543189289
1219,80,4.06875,4.012018715079327
1250,44,4.113636363636363,4.010771932539618
1266,45,4.111111111111111,4.010576079220717
5995,46,4.108695652173913,4.010387220663204
1270,169,4.035502958579881,4.008836225458879
1291,139,4.039568345323741,4.007259626557983
1247,79,4.063291139240507,4.006535779293701
177593,6,4.75,4.005105272321214
110,234,4.023504273504273,4.004433132611227
7156,12,4.375,4.003712925324519
905,14,4.321428571428571,4.00340351488081
1248,17,4.264705882352941,4.003025346560719
3508,18,4.25,4.002917298469265
1245,20,4.225,4.002722811904647
1945,23,4.195652173913044,4.00247528354968
2160,30,4.15,4.002042108928486
778,100,4.045,4.000742585064904
68954,103,4.043689320388349,4.000722870417163
5952,187,4.021390374331551,3.997876570340809
92259,37,4.108108108108108,3.991099667173179
1272,33,4.121212121212121,3.9902717292358005
741,27,4.148148148148148,3.9886941718145787
293,131,4.019083969465649,3.9863949245187196
1283,19,4.2105263157894735,3.98557532265998
1237,18,4.222222222222222,3.9850601556121226
899,47,4.074468085106383,3.9838891992480603
923,69,4.043478260869565,3.982046637432145
2542,66,4.045454545454546,3.981337952067624
27773,39,4.089743589743589,3.9812588644314166
1244,33,4.106060606060606,3.9786438222590568
44555,33,4.106060606060606,3.9786438222590568
6711,74,4.033783783783784,3.9771629090135647
3152,8,4.5,3.9767602420633015
3201,8,4.5,3.9767602420633015
3037,24,4.145833333333333,3.9729907163864535
31658,40,4.075,3.9716336871427886
1673,39,4.076923076923077,3.9710547827987637
81845,56,4.044642857142857,3.9709346114718094
1206,119,4.004201680672269,3.9696254601328635
122916,19,4.184210526315789,3.968333943349635
457,189,3.9894179894179893,3.9677471575735646
48780,89,4.01123595505618,3.9654715591630247
162,16,4.21875,3.964680167582286
306,16,4.21875,3.964680167582286
953,58,4.0344827586206895,3.9644365346638146
112852,58,4.0344827586206895,3.9644365346638146
1148,56,4.035714285714286,3.963358853896052
1719,14,4.25,3.961736848214143
1387,91,4.0054945054945055,3.961204795615242
56782,26,4.115384615384615,3.9606023432538726
1288,64,4.0234375,3.960563302123506
1215,50,4.04,3.959694739285657
4995,122,3.9918032786885247,3.9589521542207535
903,60,4.025,3.9583097765305633
80906,12,4.291666666666667,3.9582583798699735
1084,35,4.071428571428571,3.957370763491987
1249,35,4.071428571428571,3.957370763491987
38061,35,4.071428571428571,3.957370763491987
1278,68,4.014705882352941,3.956175440476146
1259,89,4.0,3.9553705490620144
74458,66,4.015151515151516,3.95502216259394
8874,77,4.0064935064935066,3.9549618891625227
2067,21,4.142857142857143,3.9542478824883687
1927,10,4.35,3.954084217856971
5008,9,4.388888888888889,3.95166759774418
32,173,3.9739884393063583,3.9512660347384667
3083,19,4.157894736842105,3.9510925640392904
142488,19,4.157894736842105,3.9510925640392904
928,18,4.166666666666667,3.949345869897837
115569,18,4.166666666666667,3.949345869897837
1223,27,4.092592592592593,3.9481536312740384
2692,73,4.0,3.946767281411318
720,26,4.096153846153846,3.9467134543649838
589,221,3.9638009049773757,3.946241057823115
86345,7,4.5,3.945981432772907
3730,16,4.1875,3.9454493983515166
69481,34,4.0588235294117645,3.9450382808440776
47,197,3.964467005076142,3.9448390548654078
1086,24,4.104166666666667,3.9435789516805717
3703,40,4.0375,3.9416336871427884
4878,105,3.9761904761904763,3.9398407335403425
112552,38,4.0394736842105265,3.9392017574404044
3030,13,4.230769230769231,3.9383341024843226
1214,145,3.962068965517241,3.936010866820254
176,12,4.25,3.935531107142701
3429,12,4.25,3.935531107142701
914,35,4.042857142857143,3.935148541269765
1261,34,4.044117647058823,3.9336746444804414
116797,49,4.010204081632653,3.9335878704599905
1200,123,3.9634146341463414,3.9329449951664617
1090,62,3.9919354838709675,3.9316900605158254
6874,130,3.957692307692308,3.929154888265282
55721,10,4.3,3.929084217856971
96829,10,4.3,3.929084217856971
2761,38,4.026315789473684,3.9287850907737374
1394,58,3.9913793103448274,3.9276718287814623
2997,98,3.9642857142857144,3.9266822625661058
6377,138,3.9528985507246377,3.926227597007699
122926,16,4.15625,3.9262186291207475
44195,36,4.027777777777778,3.9256887903725963
1280,9,4.333333333333333,3.925351808270496
7981,9,4.333333333333333,3.925351808270496
93838,9,4.333333333333333,3.925351808270496
171763,9,4.333333333333333,3.925351808270496
3578,166,3.9457831325301207,3.92375957021102
3246,15,4.166666666666667,3.923267374285577
104879,15,4.166666666666667,3.923267374285577
2788,28,4.053571428571429,3.923202219924722
91529,73,3.9726027397260273,3.922670895869149
98491,8,4.375,3.921204686507746
364,172,3.941860465116279,3.9207784854787877
51255,58,3.9827586206896552,3.9203188876049913
1234,64,3.9765625,3.9200227615829655
99114,70,3.9714285714285715,3.919771054464243
109487,70,3.9714285714285715,3.919771054464243
916,26,4.0576923076923075,3.918935676587206
1246,86,3.9593023255813953,3.917517545386869
1035,61,3.9754098360655736,3.9166434416498506
910,49,3.989795918367347,3.9166387179176176
8950,37,4.013513513513513,3.9166315820667963
54997,25,4.06,3.9166195530611265
4967,13,4.1923076923076925,3.9165949720495403
5971,36,4.013888888888889,3.914819225155205
6,100,3.95,3.9143789487012675
6350,24,4.0625,3.914167186974689
134130,47,3.9893617021276597,3.913713760651569
800,18,4.111111111111111,3.913631584183551
1653,85,3.9529411764705884,3.911386151127784
2804,55,3.9727272727272727,3.9089489901098373
28,11,4.2272727272727275,3.908651636054258
3424,27,4.037037037037037,3.907613090733498
1265,140,3.932142857142857,3.907211229047596
2318,16,4.125,3.9069878598899783
3089,16,4.125,3.9069878598899783
