movieId,title,genres,year,has_year,title_clean,tags,tmdbId
1,Toy Story (1995),Adventure|Animation|Children|Comedy|Fantasy,1995,True,Toy Story,"pixar, fun",862.0
2,Jumanji (1995),Adventure|Children|Fantasy,1995,True,Jumanji,"fantasy, magic board game, robin williams, game",8844.0
3,Grumpier Old Men (1995),Comedy|Romance,1995,True,Grumpier Old Men,"moldy, old",15602.0
4,Waiting to Exhale (1995),Comedy|Drama|Romance,1995,True,Waiting to Exhale,,31357.0
5,Father of the Bride Part II (1995),Comedy,1995,True,Father of the Bride Part II,"pregnancy, remake",11862.0
6,Heat (1995),Action|Crime|Thriller,1995,True,Heat,,949.0
7,Sabrina (1995),Comedy|Romance,1995,True,Sabrina,remake,11860.0
8,Tom and Huck (1995),Adventure|Children,1995,True,Tom and Huck,,45325.0
9,Sudden Death (1995),Action,1995,True,Sudden Death,,9091.0
10,GoldenEye (1995),Action|Adventure|Thriller,1995,True,GoldenEye,,710.0
11,"American President, The (1995)",Comedy|Drama|Romance,1995,True,"American President, The","politics, president",9087.0
12,Dracula: Dead and Loving It (1995),Comedy|Horror,1995,True,Dracula: Dead and Loving It,,12110.0
13,Balto (1995),Adventure|Animation|Children,1995,True,Balto,,21032.0
14,Nixon (1995),Drama,1995,True,Nixon,"politics, president",10858.0
15,Cutthroat Island (1995),Action|Adventure|Romance,1995,True,Cutthroat Island,,1408.0
16,Casino (1995),Crime|Drama,1995,True,Casino,mafia,524.0
17,Sense and Sensibility (1995),Drama|Romance,1995,True,Sense and Sensibility,jane austen,4584.0
18,Four Rooms (1995),Comedy,1995,True,Four Rooms,,5.0
19,Ace Ventura: When Nature Calls (1995),Comedy,1995,True,Ace Ventura: When Nature Calls,,9273.0
20,Money Train (1995),Action|Comedy|Crime|Drama|Thriller,1995,True,Money Train,,11517.0
21,Get Shorty (1995),Comedy|Crime|Thriller,1995,True,Get Shorty,hollywood,8012.0
22,Copycat (1995),Crime|Drama|Horror|Mystery|Thriller,1995,True,Copycat,serial killer,1710.0
23,Assassins (1995),Action|Crime|Thriller,1995,True,Assassins,,9691.0
24,Powder (1995),Drama|Sci-Fi,1995,True,Powder,,12665.0
25,Leaving Las Vegas (1995),Drama|Romance,1995,True,Leaving Las Vegas,alcoholism,451.0
26,Othello (1995),Drama,1995,True,Othello,shakespeare,16420.0
27,Now and Then (1995),Children|Drama,1995,True,Now and Then,,9263.0
28,Persuasion (1995),Drama|Romance,1995,True,Persuasion,"in netflix queue, jane austen",17015.0
